,comment,eng
0,Fun social deduction exercise that gets merrier the more players participate. The game significantly benefits from each added player. Experienced players are going to have an edge through knowing the characters and hermit deck and that's a bit problematic. The first time players especially suffer from not being able to read the behaviour of the neutral players.,True
1,"Fun fun fun! Is it like real racing? Nah, not really. Is there a lot of luck? Yeah, but dealing with it is part of the skill. I love it; it's great fun. ",True
2,"Way way way ahead of it's time, and I appreciate it for that.   It gets stale quickly, but if played for 5-10 minutes, it still offers a fun experience.   Unique, and I like it for that.",True
3,"With certain character combinations the game is clearly broken. Or maybe not broken, but the game doesn't seem to go anywhere. This is something I definitely do not like. Otherwise an OK game.",True
4,"2014-01-28  Initial rating: 8.5 (January 2014)  As expected, Caverna is a great GREAT game. It is very reminiscent of Agricola (of course) but when the game was explained to me, I was surprised how different it was. I was expecting a very similar game but Caverna has a lot of new things, enough add-ons that, for me, the game feels very different than Agricola and this is very positive in my book! It now comes with Dogs!! Love the dogs and I´m also happy that they don’t provide any food :D. I couldn´t eat my dog to avoid starvation anyway. I like the new scoring system, instead of having limits you always will win a VP if you have more vegetables, cows, donkeys, etc.  The game components are awesome, except for the disappointing start player token. It is out of place with such high quality components. The game box is big and is filled with bits. I also dig the new fantasy theme. Agricola`s was very boring.  On the bad side, I feel Caverna is a little less tense than Agricola, it has an imitation action space that (practically) guarantees that you will have the needed action available on your turn. Also, I’m not sure I would want to play with 6 or 7 players. Even with 5 it can be a long game. I’m open to try this exactly once to see how the games flows, with 7 players the game can be very tigh (I guess) but I feel the downtime would be excessive. Also I think Caverna has a lot less replayability than Agricola, The cards were replaced by tiles and over time the game can get samey as there are few tiles (compared with the amount of cards in Agricola). The expedition actions are very powerful, a player can feed his family with this kind of actions alone. For some reason, I don’t like this part of the game as much as the whole. I think if a player skip totally the expeditions, he will lose the game, making them a dominant strategy.   In the night board there are some features that are hard to see.  Bottom line, Caverna is a great game. I think it is a bit better than Agricola, but it doesn’t replace the game for me, so I think I will have both of them in my collection :D. For now I’m only worried about the replayability factor in Caverna and I won’t say no to a game. Great game, I totally recommend it.   Current Rating: 8.5 [hr] 2014-02-17  After more plays, I think I don’t like the expeditions because they feel (a little) overpowered and have no thematic sense. How can I go to an expedition and furnish a room? Also how can my weapon get better with time? It should be like Robinson Crusoe, each time I use my weapon, it should degrade.  Still, these concerns are very minor and I still love Caverna.  Current Rating: 8.5 [hr] 2014-05-26  After even more plays, I’m getting a bit bored. I have lost a game when I had 5 family members and the winning player only had 2, but they were level 14 dwarf who only went to expeditions x 4. This alone made him win the game. The expeditions are overpowered as they effectively give you up to 4 actions with a single dwarf. Every player who has ignored the expeditions has lost in our games. This is THE dominant strategy.   There is almost no tension in the game, you don’t have to worry (much) about losing an space to an opponent, there are repeat spaces and the imitation one that allows you to get what you want when you want it. In the feeding phase you can exchange everything for food. I miss Agricola’s tension.  Also the game is very samey every time I play it. I miss Agricola´s cards (variability).   I retract myself and now I think Agricola is the superior game by a lot.   I enjoy Caverna but now I don’t think I will buy it.   Current Rating: 7.0 [hr] 2015-02-20  Nowadays I almost never want to play a Caverna game, It is a good game but it feels very samey each play and it has low tension. Agricola is the better game for me so I don’t think I will be playing much Caverna in the near future, instead I still need to play lots of decks  I have bought for Agricola.   I’m glad I didn’t acquire it.  Current Rating: 6.0 [hr] 2016-02-01  My current desire to play Caverna is very low, due to this I’m downgrading its rating to one I feel is deserved by the game. For me, Caverna is an average/mediocre game. I got tired of it with very few plays while I have played Agricola around 80 times and I still want to play it. Caverna´s static setup practically guarantees there is a dominant strategy, also it lacks a lot of tension which is why I love Agricola. Perhaps the only superior thing Caverna has over Agricola is how the family members are scored, perhaps 3 points per family member is too much, but you can add this rule to Agricola easily and without any pain.  I will do my best to stay away from this game, and I’m eagerly awaiting the new edition of Agricola.  Current Rating: 5.0  [b]Jgoyes´ Awards: [/b]  [imageid=2863524inline]",True
5,"The game is meh... what I dislike is that the numerous options don't seem to differ too much... at any point you will have numerous options available, but all seem to be equally good. Of course, you can work out the details to see which ones are truly better, but it doesn't seem to be worth the AP-ing time...  Don't like the fiddliness of the weapons. I'll probably give this game one more try...",True
6,"[Played once]  Overstuffed (as all Uwe's big games; if you like that style, you'll enjoy this game too).",True
7,"Very similar to, but a surprisingly big improvement over Union Pacific. The main difference is that everything is limited by a tight money supply and you lose an action to take more. The routes are more open, it's unlikely that you'll be completely boxed in, even with five players. Still some luck-of-the-draw in the shares that come off the stock, but the bonus shares are more difficult to obtain this time. A much tighter game all round than UP.",True
8,"Airlines Europe flies high with its great mix of route building and share buying mechanics.  Light enough that it is easy to teach and play, but has good strategic depth.  Beautiful components give it a sharp look.",True
9,Awesome party game if you like betting. Its a trivia game where you dont really need to know the answer. You can always just guess who of your opponents knows the correct answer. I would give it a better rating if the questions weren't so localised.  ,True
10,"Felt unnecessarily complex at first, but after a round or two, everything becomes clear.   You kind of have to relish in the game's many moving parts, or it won't be enjoyable.   I was reminded of Hansa Teutonica, in that each player has a number of pieces on their individual board that they are trying to get onto the main map (i.e. it is a ""dashboard"" game).  A variety of wood bits represent the different building types, which functions essentially as a tech tree.   The catch is that you can only build on your own color, so you must ""terraform"" a hex to match your color first.   The game aims to have theme by providing 14 different fantasy races to play, each with different costs or special abilities, but I'd say the theme is almost non-existent apart from a few nods in the racial abilities.   It has as much theme as Kingdom Builder, for example.   The only part of the game that felt a little flat to me mechanically was the 4 color tracks that players are racing to be first in.   This has been done in many other games and didn't add much here.   But, by and large, for a heavier, thinky-er Euro, this is an engaging and interesting game throughout its length.   Has gotten better with age.",True
11,"Pretty neat.  Kind of reminds me of Through the Desert mixed with Settlers of Catan!  You're generally trying to place ""trails"" of your pieces across the board, but must use resources in able to build those pieces.  The luck of the draw, while fairly minimal, makes it fun and interesting for me, as dealing with the order in which your buildings come off the stacks is the gist of the game. ",True
12,"Another great little game from M. Merkle. It has numerous subtle little strategies that become apparent very quickly indeed. Very smooth and satisfying. [EDIT] Problems that arise is some games (not terribly often) are due not to problems in design fundamentals, but rather luck in tile draws. Occasional luck issues are better than shoddy design.",True
13,"If there ever was a game where the civilization theme was pasted on this is it. Just forget the theme as this game is a 100% abstract. Still it is a very good abstract game. It has a good mix af strategy and tactics, leaning more to the strategical side. Also the quick play and relatively easy rules make it a game you can pull out at he end of a gaming session if you have 45 minutes left. Despite the easy rules it's still a game with great depth. Lot's of planning and difficult decisions to make.  Gameplay: :star::star::star::star::nostar: Replayability: :star::star::nostar::nostar::nostar: Fun/Social: :star::star::star::halfstar::nostar: Components: :star::star::star::halfstar::nostar: Rules: :star::star::star::star::halfstar: ",True
14,A fast quick civilization building game.  Some may not like it because it's too abstract.  My better half who doesn't like heavy games enjoys this game.  No direct conflict will be a plus for some and a minus for others.  Plays well with 2 or 3,True
15,"Very good game, I like the combination of public and private board placement.",True
16,One of the best Dominion expansions - I really like the Duration cards are awesome and has some strong effect in the strategies regarding the deck building.,True
17,"One of the best co-ops I've played so far. I love the dice placement.  Edit: don't play with 5 players, it gets crowdy.",True
18,"Has climbed in the ratings for me. It really is a clever, fun little game, and a good challenge for the brain without being a brain burner. Hard choices and the ability to play different strategies and still be competitive make this a good game. There's a combination of buildings that will work for you if you can find it, based upon what your opponents are doing and what you've done up to any point. The game starts out by players usually looking to get some sort of income stream going, but with the money being added to unused roles and other opportunities coming early, this doesn't fall into that category of game where predictably each player has to build an income engine before they switch over to earning victory points. That's one of the strengths of the game - there's great variety and many ways to approach it. Top stuff.",True
19,"Not game #1 for me but being #1 on the Geek 8 years after its release certainly is enough proof of lasting goodness. The unique point is that even after this long time there are no big numbers of me-too-products like El Grande or Caylus have produced. The role selection and tight gameplay still feel fresh and good play needs concentration on various dimensions like strategic planning, efficient engine building, timing of roles and control of the game end. Compared to today's (2010) eurogames it shines in its comparably streamlined rules creating a fluent gameplay without much downtime. Agricola is fiddly as hell in comparison. Too much love for chrome and aimless complexity today. Troyes anybody? That being said, Puerto Rico is a design that I respect rather than admire.",True
20,"Very deep game but has quite a learning curve and very heavy with rules. Not for the casual gamer, and can be a very expensive hobby. MANY different formats to play in, of which I only play the casual ones. However, the game can bring about some very memorable moments and with the right group of casual players, very enjoyable.",True
21,"Still easily the holy grail of CCGs (at least of those I've tried). I don't care for the collectible aspect (anymore) which means you really need to have opponents with approximately the same investment since more money often means better cards (although to be fair Magic handles card rarities much better than many other CCGs). Playing with fixed decks isn't all that great, either, since deck-building amounts to a lot of fun all by itself. The new-fangled fixed set alternatives (read: Dominion) don't even come close, though.",True
22,Excellent 2 player implementation of 7 Wonders that feels far tighter in terms of economy and play. Most victories are through points but alternate routes provide a good amount of strategy. ,True
23,Very good two player implementation of 7 Wonders.  I like how the cards become revealed and available during the turn.  I also like the way that science and military have been integrated into the game.,True
24,Very nice card drafting game with lots of 7 Wonders theme. Perfect for play during lunch hour.,True
25,"Laughably easy and way too long. It's better than Arkham Horror, which is like saying it's better than a kick in the nuts.",True
26,OK party game that can be fun with the right crowd.,True
28,"This is a great party game that everyone enjoys, but it does get old after a few plays.  In my opinion.  This game has been eclipsed by Attribute.  All the same fun, but none of the disadvantages.",True
29,"Okay party game that can play extremely large groups.  Its not a game that generally is extremely competitive as its more about just enjoying the experience.  Figuring out how people think is key if one actually wants to win...:-)  What is frustrating for me is when kids play and make decisions that appear totally random; when adults do the same, it practically drives me insane...:-)  While a solid large group party game, it now almost puts me to sleep if people are just silly with their choices.  Playing with the worm variant is a must anymore as well.",True
30,"Players have 2-sided tokens with numbers adding up to 7. Each round, players take turns moving one of their unmoved tokens, then flipping the token over. Can interact with board elements sort of like RoboRally. Next, Furunkulus moves: flip movement card over, which determines either # victims (1 or 2) or # spaces to move. Moves step by step straight ahead, then turns towards closest player to L/R/Front (if tied, keep going straight). Continues moving till kills specified #victims or moves specified #steps. Killed tokens returned to player till part 2 of game, when they're removed from play. Part 2 starts when penultimate monster movement token is revealed (shuffle monster movement cards).   Advanced rules add some extras.  Light fun. Have only played a few times, but don't feel the need to own it. Seems too chaotic -- would rather play RoboRally, although this is shorter.",True
31,Basically a neat themed race game with a cool monster mechanic where it is uncertain where and how far he will move and whether he will kill or only move.    Very light so it plays like a filler but it is longer than a filler should be. There is some thinking as a subtle move could thwart some opponents and catch them off guard making a fun little screwage factor. I see someone suggesting a timer to force you to play even faster and I can see why that might be even more fun. ,True
32,Players try to get out from a dungeon kept by a monster who moves in mysterious ways.,True
33,mmmmm I like this one.  Moving that monster around is a lot of fun.  Great game.,True
34,"AT MUM AND DAD'S It is a race! Choose to either just run or set nasty traps for the other players, best played with a time limit on moves, the faster the better.",True
35,"I have this game because it supports  a large number of players (up to 7).  This game is very fun if played the right way which involves using TWO monsters and players not really being too analytical about their best move to escape alive.  My main issue with this game is that if someone takes time to think about their best move, it gets boring very quickly.  ",True
36,"Isle of Skye is a quick tile laying game. Every round (there are only six) you get some income, then draw three tiles. One of those tiles you'll discard. The other two you'll price by putting some of your coins next to them indicating the cost. Then, in turn order every player gets to buy a single tile from someone else. They pay you the price you set and you take their coins and the coins you put next to that tile. After everyone has purchased a single tile (or chosen not to), you have to buy any tiles in front of you that weren't bought, by giving up the coins you set next to them. Then everyone places their tiles in their tableau.  Every game will have 4 different random goals that reward for completing certain configurations of tiles, or for various features on those tiles. Not every goal will be scored every round though. Each goal will be scored three times during the game, but the order of scoring varies (which is preset and known at the game outset).  Pricing tiles correctly is hugely important. If you try to price tiles expensively, you may not be able to buy anyone else's tiles... and other people may let you have your expensive tiles, which will bankrupt you for next turn. But price them too low and you'll give away points. You can be screwed and end up with no tiles to place, if you couldn't afford to buy a tile and everyone bought the tiles you had to offer, but you'll be set up for the following round with a lot of cash.  The game is fairly straightforward, and there's nothing truly revolutionary here, but it's quick and fun.",True
37,Lay out tiles to basically collect icons that match whatever scoring set up for the current game.,True
38,"Provisional rating, I might get bored with it ... but as a fan of the show this is about as good as it gets :)  I really like it isn't a co-op, I first thought you'd all be crew on the Serenity, you're not. Each player owns their own, go out into the black, look for jobs, misbehave, get paid.  Helps if you know the show/film and like it. But fans of pickup/deliver will find stuff here they'll enjoy too.  Downsides, maybe a bit too long for some and player interaction is a bit limited.  Overall, shiny :)",True
39,"Great little deckbuilding game. Simple but exciting gameplay, a few interesting ways to build combos. Nice art. +Team mode+",True
40,*8* (3+ Plays) Nice deck builder with interaction! It's reminiscent of Ascension with the card row. Probably the best part is the game comes in a tiny box that holds all you'll need.,True
41,"Tulajdonképpen egy sci-fi ascension. Annyiban más, hogy itt a haderőt egymás gyakására használjuk a szörnyek helyett. Amúgy gyors, pörgős, és azért vannak benne döntések, de ugyanúgy, mint az ascensionnél sokat számít, hogy mit kaparsz ki a másiknak, illetve az is, hogy az elején ha elindítasz valami specializálódást, akkor ahhoz mennyire jönnek ki később a lapok. Alapjában véve kétfős játék, de kíváncsi vagyok, milyen lehet több fővel. Illetve nagy piros pont jár a scenariókért, amikkel megpróbálják változatossá tenni a játékot. Jó lenne ilyesmi az ascensionhöz is. -> 8",True
42,Bought at Essen 08. like this a lot after our first play. Caught myself trying to plan another game as soon as we have at least three hours free time... And being disappointed that this won't happen before the end of the week...,True
43,"Plenty of give-and-take to this one and lots of interesting decisions on how to use one's cards.  The only downside is that it seems that there are a few idiosyncrasies that may initially turn people off, but being taught by an experienced player or reading some information on the game should fix that.  I need more play before rating it higher, but I was impressed with my initial play.  UPDATE: Having played it again, have to bump the rating, as it's just a wonderfully tense and challenging game; a mental tennis match.",True
44,"Players are opposing Mages, duelling in an arena.  Large, lavish game where mages alternate taking actions.  Actions can be ""full"" - slow, powerful actions, or ""fast"" - quick actions which also allow movement before the action.  The battle takes place on a huge 4x3 square area.  Actions typically involve casting spells, prepared from a ""spell book"" (basically a CCG card display folder).  Spells come in six or seven categories - attacks, conjugations, creatures, enchantments, and so on.  Mages cast their spells, build up, summon help, and basically go to battle.  Combat is a clean, dice based vs armour affair.  I was quite impressed by this one.  Obviously a lot of thought and development has gone into it, and care taken to get it ""right"".  It plays very well, looks good, and is well supported by an excellent set of rules.  My only concern is the playing time, which may blow out depending on play style.  Still, easy to record and pack away, and set up again at a later date.  Impressive.",True
45,"Update after first full play (using the other two mages we didn't use in the apprentice game):  How in the world do I rate this thing? It's the only game where it took like 30 minutes to setup (build the decks), and that was even with following the instructions for the pre-build decks rather than building our own. And then the game took like 5 hours to play, maybe 4 with some downtime removed. But it is a [b]very[/b] rich experience. But I'm still not sure about the idea of choosing from a huge deck of cards every turn. Sometimes my brain just shuts down and refuses to process the choices. And it means for replayability I really [i]have[/i] to get into deck construction, to avoid the same openings every time. I'm not sure I can do that. I'll get at least a few more plays in with the prescribed decks. --- Preliminary rating after first partial play. A hit with the son, but I fear it's too long for frequent play (we don't have huge blocks of time to dedicate). Chances are high I'm screwing up the rules. There are many possible things to get wrong. I don't quite have the determination to wade through pages and pages of rules questions.",True
46,"I was very pleasantly surprised by this one. The front-loading seems more daunting than it actually is, ditto for the rules. I have some doubts about balance, but with luck the deck-building compensates for that.  [EDIT] This can easily degenerate into a slog, which is exactly what I do not want in a game of this ilk.",True
47,"+ lots of cards + art is cool +/- deckbuilding, but it takes too long - learning curve is too high - takes way too long to play - repetetive - luck based, lots dice throwing - five pages of game terms, constantly need to check what does what - 40+ pages o",True
48,"A lot of depth here and quite interesting for anyone interested in this genre as there will be plenty of new character expansions. You're a mage (d'uh) with your own spell book that you flip through each turn and pick two spells to play. There are quick spells and long-casting spells and you can do one of each per turn though you have to sacrifice moving to do a long-casting one. The spells are of all different types: defensive, offensive, creatures, enchantments, conjurations, etc. They provide an incredible amount of asymmetry and variability in what you can do. Each character is different (wizard, beast master, etc.) and has a different spell book. And flipping through the spell book to choose what to play gives a great sense of control which was refreshingly different than the usual card game fare.   The game does seem like a commitment to a system rather than just a buy once and play type of game. You should probably go in expecting to buy further characters and spell books, but assuming you like the game, that's a feature not a flaw. You'll need to find a partner willing to invest in the time to become familiar with the game or else you'll crush everyone and nobody will want to play with you.  I'm not into games like this at all (2P attacky card games with a ton of cards) but for anyone who likes this genre, the design is tight (they spent 5 years playtesting) and it's a must try.",True
49,"I've only played the demo version of this, since the actual retail release is still a ways off. The game is basically a riff on Magic the Gathering, the twist being that every spell in your deck is available to you at all times. Combat also has a spatial aspect, as the game takes place over multiple zones in which your mage and summoned creatures are free to roam. Think Summoner Wars, but with far more intricate play. Overall, I'd say the game has a lot of potential. There are aspects of it that I wish were a bit less complicated, but as I mentioned before, the game is still in development. The design team seemed pretty open to feedback at my demo, so there is a very good chance that some of the game's rough edges will get cleaned up before release day.   Definitely one to keep an eye on.",True
50,"I prefer the original artwork. Yes, I said it.",True
52,"It is a very simple game of outguess your pursuers/prey but it is very well done.  The mix of different movement techniques, special tickets, and timed reveals make a very elegant package.  It's not really for me though, I just don't find myself having too much fun either chasing a phantom or outrunning my would-be captors.",True
53,"[2014-03-15] Agricola etetés nélkül. Nekem végig ez volt az érzésem játék közben. Sima munkáslerakós játék. A lerakásban érdekesség, hogy vannak helyek, ahova több munkás kell, illetve pénzzel mindig ki lehet váltani munkást, igaz 1 pénzszerzési hely van a játékban összesen, ezért ebből senki se fog dúskálni. 3 vágányt épít mindenki Oroszországban 4 fajta különböző fejlettségű sín felhasználásával. Minden vágány különböző dolgokat ad egyes pontjainak elérésekor. Ezen túl vannak még mérnökök, akik megvásárlásával külön akcióhelyet tudunk szerezni, illetve gyárak, amik beépítésével a táblánkba adott pillanatban adnak bónuszt. Fix 7 körös a játék. Sok út vezet a győzelemhez. Teljesen rendben levő játék, ami valószínűleg 4-en a legélvezetesebb. Jó játék az RR, de nem éreztem kiemelkedőnek.",True
54,"Not bad, for worker placement. What you are trying to accomplish is to move up 4 different tracks, which provide bonuses, points, or both. It's not as elegant as games of yore but at least it all hangs together in a relatively coherent whole. The high scores are exciting, even if the scoring rules are a bit byzantine. I am hard-pressed to understand how this theme relates to these mechanics, but whatever. It's enjoyable for advanced Euro players (and probably nobody else).",True
55,A valid Ticket to Ride map for fewer people.,True
56,"While okay as a two-player game, it is better with three or more. If feels very personal as you try to stuff each other up with just two-players. With more than two it seems less intense.",True
57,I'm not sure this is the wonderful 'gateway' game everyone claims it to be. I find it to be quite confrontational. And there's a huge amount of luck involved particularly with more players.,True
58,The cooperative game with the smoothest mechanics and most approachable theme I've encountered. Has an addictive let's play it again quality. The fact that it plays so quickly is a virtue. The game is light enough that I think it would suffer under a playing time of over 40 minutes. Most games are under 30. Serves a purpose in the game collection that no other game quite matches.,True
