,comment,language,enough words
27,1,ERROR ON THE DANCE FLOOR,TOO SHORT
41,"Tulajdonképpen egy sci-fi ascension. Annyiban más, hogy itt a haderőt egymás gyakására használjuk a szörnyek helyett. Amúgy gyors, pörgős, és azért vannak benne döntések, de ugyanúgy, mint az ascensionnél sokat számít, hogy mit kaparsz ki a másiknak, illetve az is, hogy az elején ha elindítasz valami specializálódást, akkor ahhoz mennyire jönnek ki később a lapok. Alapjában véve kétfős játék, de kíváncsi vagyok, milyen lehet több fővel. Illetve nagy piros pont jár a scenariókért, amikkel megpróbálják változatossá tenni a játékot. Jó lenne ilyesmi az ascensionhöz is. -> 8",hu,ok
51,#NAME?,vi,TOO SHORT
53,"[2014-03-15] Agricola etetés nélkül. Nekem végig ez volt az érzésem játék közben. Sima munkáslerakós játék. A lerakásban érdekesség, hogy vannak helyek, ahova több munkás kell, illetve pénzzel mindig ki lehet váltani munkást, igaz 1 pénzszerzési hely van a játékban összesen, ezért ebből senki se fog dúskálni. 3 vágányt épít mindenki Oroszországban 4 fajta különböző fejlettségű sín felhasználásával. Minden vágány különböző dolgokat ad egyes pontjainak elérésekor. Ezen túl vannak még mérnökök, akik megvásárlásával külön akcióhelyet tudunk szerezni, illetve gyárak, amik beépítésével a táblánkba adott pillanatban adnak bónuszt. Fix 7 körös a játék. Sok út vezet a győzelemhez. Teljesen rendben levő játék, ami valószínűleg 4-en a legélvezetesebb. Jó játék az RR, de nem éreztem kiemelkedőnek.",hu,ok
130,1,ERROR ON THE DANCE FLOOR,TOO SHORT
132,its ok,nl,TOO SHORT
150,"Jó kis deckbuildinges kalandozás, rengeteg tematikával. Elsőre kicsit rejtvényszerű volt, de ez a szabályismerkedés közben nem annyira zavart. Az viszont gáz, hogy rengeteg a holtidő, és nagyon hosszú a játékidő. Azért remélem, elő tud majd még kerülni, és találunk valami megoldást a rövidítésre.",hu,ok
173,果然是很苦的遊戲阿 不過還不錯玩 很有挑戰性,ko,TOO SHORT
198,#NAME?,vi,TOO SHORT
202,Belle surprise. Je m'attendais a une variation des Aventuriers du Rail et ce n'est pas du tout le cas. Beaucoup plus tactique.,fr,ok
238,https://boardgamegeek.com/blogpost/47484/csodaparbaj-7-wonders-duel  Kiegészítés: https://boardgamegeek.com/blogpost/47848/egy-suru-hetvegerol-diohejban-entdecker-perudo-cas,hu,ok
242,"Nagyon jópofa ez a kártyavívős alapmechanika. Rengeteg jó ötlet van benne, lenyűgöző hogy sikerült egyszerre megcsinálni azt, hogy nagyon hasonlít is az elődre, és teljes más. Viszont sajnos egyensúlybeli problémák előjöttek már két játék után is. A zöld győzelemre tényleg nulla esély van. A piros is inkább csak fenyegetés, de az talán még nincs is baj. A kártyák kikaparása a másiknak jókora szerencsefaktort visz a játékba. Kár ezekért, mert amúgy tényleg kivételesen szuper játék lehetne. Így csak jó.",hu,ok
266,No comments.,fr,TOO SHORT
