,comment,eng
27,1,FALSE
51,#NAME?,FALSE
126,Boring,FALSE
130,1,FALSE
167,"""Experience game,"" poorly executed.",FALSE
173,????????? ?????? ?????,FALSE
191,Classic. ,FALSE
198,#NAME?,FALSE
238,https://boardgamegeek.com/blogpost/47484/csodaparbaj-7-wonders-duel  Kiegészítés: https://boardgamegeek.com/blogpost/47848/egy-suru-hetvegerol-diohejban-entdecker-perudo-cas,FALSE
261,Great light game. ,FALSE
278,Semi-entertaining pattern recognition abstract.,FALSE
345,??: *????1??1??8????(1 band*3+2 bang+5 click)?????????????????????8?????????????????7??? 1.??5??????????????????????? 2.??????????????? 3.?????3????????????(?????????) 4.?????3????????????????(-5000?)???????????????????? 5.?????????????????????????????? 6.????????????????????? 7.?????????????????????????? *??3???????????????????????? *?????????????????? *???? ????????????????????????????? 1.??????????10000???????? 2.4?????? 3.?????????????????????????????????? 4.?????1?? 5.??????????????????????1???????? 6.??????? 7.????3??????? 8.???????5000? 9.bang*3?????? 10.?????????????????? **5-6????????** *?????????(????????????)????????????????1??????1??8 *???????6????????????? 8.????????????????????????????????????????????????????????????????????????(???????????????????),FALSE
347,1,FALSE
348,Solid medium weight Euro.,FALSE
351,Részletes vélemény: https://boardgamegeek.com/blogpost/41978/kartyagyar-battle-lineasterix-san-juananno-xviii-c,FALSE
352,Was fun enough.,FALSE
353,Modified LOTR LCG Arkham style ...,FALSE
384,AOS is better,FALSE
437,"Két perc alatt megtanítható, 10 perc alatt lejátszatható levezet?felvezet? játék. Egyszer?, de nagyszer?.  Nagyon jól tanítható, és egyb?l szórakoztató bármely társaságban.  -> 8 ",FALSE
479,MULTIPLAYER:  2 Player Minimum 4 Player Maximum Awesome archeology game.,FALSE
494,??: *?????????????????????????????????????????(???????????)????????????????????? *?????????????????0????20??????????????????? *????????????????????????????????? 1.???? ???????????????????????????????(??????)??????????????????????????????????????????????????(?????????)?????????????????? 2.???? ????????/??/???????????????????????????????????????????(????????)???????????? *????????????????????????????????? *???????????????????????????????????????????????? 3.???? ?????????????????????????????????????????????????????3/2/1/1/1???(???/??/??)?????????????????????????? *?????????????????(??????????)??????????????? 4.????  ???????????????????????????????????????? *??????????????????8???????????????+1? *?????????????????????????1? *?????? ????????????????????????????????????3???????????????????????5?(??????????)??????????3? *???????????????????????? *???????????????????6/4/2???????????????????????????????? **????** *??????????????????????,FALSE
508,1,FALSE
527,Weird abstract wargame.,FALSE
533,Unforgiving.,FALSE
549,Vélemény: https://boardgamegeek.com/blogpost/38899/mauer-bauer-torres-medina-manhattan,FALSE
606,Another OK party game.,FALSE
643,"""Dungeon"" delve done right . . .",FALSE
665,Anarchic abstract/post apocalyptic fun.   ,FALSE
673,"Apps meets boardgames, done right . . .",FALSE
685,Cool card game depicting 8-bit dungeon lords killing off adventurers.,FALSE
714,Marvel super-hero deckbuilding . . . finally . . . right?  Game Rated: #3434.  Game Played: #15700.  Game Owned: #2024.,FALSE
725,EXPANSION:  Great expansion.,FALSE
770,Great co-op game. Very thematic.,FALSE
816,#NAME?,FALSE
875,1,FALSE
884,#NAME?,FALSE
906,Zombies!!!,FALSE
921,"Zombies, co-op cool.",FALSE
939,"More Money, More Better.",FALSE
,,
,,
,,
,23 comments not identified as English,
